part_number,supplier_part_number,lead_time_days,supplier_free_stock,low_stock,discontinued,stock_updated_at
315830,PALERMDLXE6SEAT,3,0,,False,2023-08-25T11:27:48
315831,SMALL-PLANT2SCT,3,0,,False,2023-08-25T11:27:48
315832,SHLLW-PLANTX2,3,0,,False,2023-08-25T11:27:48
315833,MALAGA-LOUNGE,3,30,,False,2023-08-25T11:27:48
315834,DELANOCAPPUC,3,0,,False,2023-08-25T11:27:48
315835,STOCKHOLMCHAISE,3,0,,False,2023-08-25T11:27:49
315836,STOCKHOLMLOUNGE,3,569,,False,2023-08-25T11:27:49
315837,MARRAKESHSET,3,0,,False,2023-08-25T11:27:49
315838,SANTORINI-GREY,3,30,,False,2023-08-25T11:27:49
315839,SION-HEATER,3,314,,False,2023-08-25T11:27:49
315840,VERONA-HEATER,3,0,,False,2023-08-25T11:27:49
315841,TURIN-HEATER,3,333,,False,2023-08-25T11:27:49
315842,MODENA-HEATER,3,162,,False,2023-08-25T11:27:49
315843,FLORINA-HEATER,3,0,,False,2023-08-25T11:27:49
315844,BORDEAUX-HEATER,3,0,,False,2023-08-25T11:27:49
315845,LYON-HEATER,3,270,,False,2023-08-25T11:27:49
315846,ZURICH-HEATER,3,322,,False,2023-08-25T11:27:49
